,ID Acometida,geometry,Sector GIS,Sector Contratos,Problemas,Sugerencias
993,1342034,POINT (445072.84449999966 4110597.177100001),JUEVES,PARQUE 28 DE FEBRERO,Sectores no parejos: El ID de sectores de contratos no coincide con la posición de las acometidas según los sectores especificados,"Tomar sector GIS, en este caso: JUEVES"
1000,1342013,POINT (444955.7589999996 4110877.7042999994),PARQUE 28 DE FEBRERO,PARQUE 28 DE FEBRERO,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia mayor de 25 metros, comprobar en GIS y AQUACIS"
1044,1341962,POINT (444900.17420000024 4111797.037900001),CAMPO DE FUTBOL,CAMPO DE FUTBOL,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia mayor de 25 metros, comprobar en GIS y AQUACIS"
1092,3054200,POINT (444248.5218000002 4111202.130999999),MANUEL GALERA,PONIENTE,Sectores no parejos: El ID de sectores de contratos no coincide con la posición de las acometidas según los sectores especificados,"Tomar sector GIS, en este caso: MANUEL GALERA"
1093,3054197,POINT (444246.83160000015 4111197.4510999992),MANUEL GALERA,PONIENTE,Sectores no parejos: El ID de sectores de contratos no coincide con la posición de las acometidas según los sectores especificados,"Tomar sector GIS, en este caso: MANUEL GALERA"
1113,1338661,POINT (444804.01439999975 4111284.937000001),PARQUE 28 DE FEBRERO,PARQUE 28 DE FEBRERO,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia mayor de 25 metros, comprobar en GIS y AQUACIS"
1165,3054058,POINT (444694.6107000001 4111172.5648),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
1167,1341113,POINT (444598.074 4111102.464400001),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia mayor de 25 metros, comprobar en GIS y AQUACIS"
1176,1342647,POINT (444154.6029000003 4111371.8288000003),MANUEL GALERA,MANUEL GALERA,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
1191,1340037,POINT (444240.2072999999 4111326.983100001),MANUEL GALERA,MANUEL GALERA,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
1254,1339908,POINT (444325.7056 4110916.8922000006),PONIENTE,PONIENTE,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
1262,1342050,POINT (444615.3398000002 4110981.8265000004),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
1334,1339125,POINT (444924.9138000002 4110694.0579000004),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia mayor de 25 metros, comprobar en GIS y AQUACIS"
1398,1343143,POINT (445283.4031999996 4110826.2073),PARQUE 28 DE FEBRERO,PARQUE 28 DE FEBRERO,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia mayor de 25 metros, comprobar en GIS y AQUACIS"
1402,3089220,POINT (445189.88379999995 4110558.6525),CAMPO DE FUTBOL,PONIENTE,Sectores no parejos: El ID de sectores de contratos no coincide con la posición de las acometidas según los sectores especificados,"Tomar sector GIS, en este caso: CAMPO DE FUTBOL"
1407,1343669,POINT (445261.8828999996 4110784.579399999),PARQUE 28 DE FEBRERO,NEVADA,Sectores no parejos: El ID de sectores de contratos no coincide con la posición de las acometidas según los sectores especificados,"Tomar sector GIS, en este caso: PARQUE 28 DE FEBRERO"
1452,1342059,POINT (445057.5460000001 4110807.1136000007),PARQUE 28 DE FEBRERO,PARQUE 28 DE FEBRERO,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
1457,1339644,POINT (445262.8541000001 4110918.0504),PARQUE 28 DE FEBRERO,PARQUE 28 DE FEBRERO,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
1467,1339591,POINT (445213.73589999974 4110870.0033),PARQUE 28 DE FEBRERO,JUEVES,Sectores no parejos: El ID de sectores de contratos no coincide con la posición de las acometidas según los sectores especificados,"Tomar sector GIS, en este caso: PARQUE 28 DE FEBRERO"
1484,3061688,POINT (445259.42920000013 4110863.1362999994),PARQUE 28 DE FEBRERO,PARQUE 28 DE FEBRERO,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
1536,1342743,POINT (445587.04360000044 4111738.1194),NEVADA,NEVADA,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
